time,lat,lon,time_taken,distance,total_distance,from_koteshwor
"(0, 1, 15)",27.72104333,85.29495333,30,1.6061005126733754,1.6061005126733754,7133.1853974081505
"(0, 2, 44)",27.721005,85.29497167,89,4.628653330047048,6.234753842720424,7129.020377597395
"(0, 3, 44)",27.7211,85.29498,60,10.595292174688037,16.83004601740846,7135.36252174423
"(0, 4, 44)",27.72114167,85.29503833,60,7.377985177057162,24.208031194465622,7134.10341294112
"(0, 5, 43)",27.72115333,85.29504833,59,1.6278473869964156,25.835878581462037,7134.219804770573
"(0, 6, 42)",27.72118833,85.29502833,59,4.3614033271882855,30.19728190865032,7138.2679184935305
"(0, 7, 41)",27.72114833,85.29502667,59,4.450797395361724,34.64807930401204,7135.454428483771
"(0, 8, 41)",27.721135,85.29500333,60,2.7340596917086293,37.38213899572067,7136.20270849278
"(0, 9, 40)",27.72116667,85.294925,59,8.476340750074876,45.85847974579555,7144.320743152586
"(0, 10, 40)",27.72111833,85.294955,60,6.132893502173583,51.99137324796913,7138.5565490002
"(0, 11, 40)",27.72116167,85.29504333,60,9.940784123988031,61.93215737195716,7135.201700014039
"(0, 12, 39)",27.72117333,85.29506333,59,2.3572345638555814,64.28939193581274,7134.579411421617
"(0, 13, 39)",27.72112667,85.29504,60,5.673851365746276,69.96324330155902,7132.879192922603
"(0, 14, 38)",27.72104333,85.294915,59,15.403447772772381,85.3666910743314,7136.025106211681
"(0, 15, 38)",27.72104667,85.29496167,60,4.608823055638255,89.97551412996965,7132.812240318245
"(0, 17, 7)",27.72107833,85.29499,89,4.491063390033862,94.46657752000351,7133.033993637517
"(0, 18, 7)",27.72105,85.29496833,60,3.8043744245973103,98.27095194460082,7132.562866095313
"(0, 19, 6)",27.72100333,85.29493833,59,5.970812064745243,104.24176400934607,7131.36875635182
"(0, 19, 36)",27.72104333,85.29494833,30,4.555413334226563,108.79717734357263,7133.555777314734
"(0, 21, 11)",27.72117833,85.294995,95,15.698499103506661,124.49567644707929,7139.998040242047
"(0, 22, 10)",27.72111833,85.29499667,59,6.673720366312623,131.16939681339193,7135.472796107424
"(0, 23, 10)",27.72113,85.29500167,60,1.3878416838118597,132.5572384972038,7135.958753792123
"(0, 24, 9)",27.72107833,85.29499333,59,5.803793564577412,138.3610320617812,7132.787489575763
"(0, 25, 9)",27.72111,85.29498333,60,3.656522671602024,142.01755473338324,7135.84915283483
"(0, 26, 8)",27.72111,85.29497833,59,0.49216114216629003,142.50971587554952,7136.219190526176
"(0, 27, 8)",27.720835,85.29510667,60,33.08532779261672,175.59504366816623,7106.575432416336
"(0, 28, 8)",27.72054333,85.29526333,60,35.91155140373055,211.50659507189678,7073.642300607833
"(0, 29, 7)",27.72073,85.29536167,59,22.90289920619533,234.4094942780921,7079.993658044118
"(0, 30, 7)",27.720765,85.295355,60,3.946813066135121,238.35630734422722,7083.051206609439
"(0, 31, 6)",27.72072833,85.29535167,59,4.090671425840185,242.4469787700674,7080.612130092059
"(0, 32, 6)",27.72075833,85.29541167,60,6.782932126865588,249.22991089693298,7078.3668771738185
"(0, 32, 36)",27.720785,85.29545,30,4.798907762270378,254.02881865920335,7077.486046348683
"(0, 34, 22)",27.72078167,85.29531333,106,13.457867882886477,267.48668654208984,7087.358197539673
"(0, 35, 22)",27.72080667,85.295335,60,3.503929619737685,270.9906161618275,7087.585250122172
"(0, 36, 21)",27.72077,85.29537833,59,5.900599045596029,276.89121520742356,7081.690196020119
"(0, 36, 51)",27.72077167,85.29537167,30,0.681353534067427,277.572568741491,7082.305634084717
