time,lat,lon,time_taken,distance,total_distance,from_koteshwor
"(7, 24, 6)",27.72239833,85.29241,60,1.14869053622227,77814.29854006627,7420.981355091784
"(7, 25, 5)",27.72306167,85.293905,59,164.60511006363322,77978.90365012991,7359.327385939694
"(7, 26, 5)",27.72484167,85.29758833,60,413.0578807648843,78391.9615308948,7232.672887700424
"(7, 27, 4)",27.72584333,85.30190333,59,439.0800223274874,78831.04155322228,7021.792326489395
"(7, 28, 4)",27.727135,85.30455,60,297.4752010699155,79128.5167542922,6961.081238808293
"(7, 29, 4)",27.73157,85.30535833,60,499.5259514012985,79628.0427056935,7300.959758148463
"(7, 30, 3)",27.73419167,85.30542833,59,291.597803129614,79919.64050882311,7533.305025323251
"(7, 31, 3)",27.73540833,85.30639,60,165.10769809567668,80084.74820691878,7591.033105494784
"(7, 32, 2)",27.73525,85.30766,59,126.22642150347565,80210.97462842226,7507.173930339088
"(7, 33, 2)",27.73482833,85.31058167,60,291.3473834189109,80502.32201184117,7313.434307770909
"(7, 34, 1)",27.73498333,85.31422667,59,359.1538505176884,80861.47586235886,7147.227529776203
"(7, 35, 1)",27.73508333,85.316565,60,230.40610706285895,81091.88196942171,7048.240647923732
"(7, 36, 30)",27.73524,85.31926833,89,266.63022285497317,81358.51219227668,6945.710048795302
"(7, 37, 30)",27.73624,85.32206333,60,296.7051631722531,81655.21735544894,6934.757859030698
"(7, 38, 0)",27.736965,85.32326,30,142.72260762995816,81797.9399630789,6964.59654117063
"(14, 48, 10)",27.72106667,85.29472167,60,2.025214185044364,154299.42246065885,7152.066549597729
"(14, 49, 3)",27.737165,85.34083833,53,4879.252188976365,159178.6746496352,6546.6948598951685
"(14, 50, 23)",27.72109,85.294725,80,4877.995647816698,164056.6702974519,7153.524622833009
"(14, 51, 12)",27.72107167,85.29469167,49,3.8623273754889462,164060.53262482738,7154.6578660046125
"(14, 52, 11)",27.72106167,85.29470667,59,1.8483604141756804,164062.38098524156,7152.814210190326
"(14, 53, 7)",27.737165,85.34083833,56,4880.829686930679,168943.21067217222,6546.6948598951685
"(14, 54, 18)",27.72104333,85.29474667,71,4877.916852310794,173821.12752448302,7148.50619828632
"(14, 55, 18)",27.72105833,85.294745,60,1.6760046383808644,173822.8035291214,7149.726241904861
"(14, 55, 35)",27.72111,85.29470333,17,7.059306968374767,173829.86283608977,7156.593941817247
