time,lat,lon,time_taken,distance,total_distance,from_koteshwor
"(0, 1, 40)",27.72096333,85.29548333,60,2.8259781117396305,2.8259781117396305,7088.121793574904
"(0, 2, 39)",27.72096,85.29545167,59,3.138289320513327,5.964267432252957,7090.214413061195
"(0, 3, 39)",27.720915,85.29542667,60,5.576138014546919,11.540405446799877,7088.753864705406
"(0, 4, 39)",27.72093,85.29540833,60,2.4578239033046594,13.998229350104536,7091.210970333876
"(0, 5, 38)",27.72092333,85.29543667,59,2.886485408710677,16.884714758815214,7088.627015454223
"(0, 6, 38)",27.72089333,85.29550833,60,7.802697764057767,24.687412522872982,7081.128812270013
"(0, 7, 37)",27.720905,85.29549333,59,1.9656789572174294,26.65309148009041,7083.0944898722955
"(0, 8, 37)",27.72095167,85.29549333,60,5.189467226862502,31.84255870695291,7086.525964851311
"(0, 9, 36)",27.72094667,85.29543,59,6.258466324043629,38.10102503099654,7090.834928498007
"(0, 10, 36)",27.72090833,85.29546333,60,5.379434987655531,43.48046001865207,7085.555239253168
"(0, 11, 36)",27.72092833,85.29542667,60,4.238776566199395,47.71923658485146,7089.73320242792
"(0, 12, 35)",27.72095,85.29541,59,2.9152342523075783,50.634470837159036,7092.5570517070755
"(0, 13, 35)",27.72096167,85.295415,60,1.3878419536264806,52.02231279078551,7093.045352138023
"(0, 15, 4)",27.72100333,85.29535,89,7.899029311581461,59.92134210236697,7100.90844889345
"(0, 16, 4)",27.72106167,85.29555667,60,21.352292616248345,81.27363471861531,7089.952866483778
"(0, 17, 3)",27.72297833,85.29664833,59,238.678946480337,319.9525811989523,7154.490094071832
"(0, 18, 3)",27.72456667,85.297425,60,192.45051529670076,512.403096495653,7222.456764720603
"(0, 19, 2)",27.72459,85.29742833,59,2.6148021086509963,515.017898604304,7224.052515577663
"(0, 20, 2)",27.72470833,85.29753667,60,16.93639918884545,531.9542977931495,7225.78231527357
"(0, 21, 2)",27.72491167,85.29799,60,50.02241547242291,581.9767132655725,7210.335834809856
"(0, 22, 1)",27.72493833,85.29796167,59,4.0698484143574944,586.0465616799299,7214.404430997493
"(0, 23, 1)",27.725785,85.301825,60,391.7423314249028,977.7888931048327,7022.109821057171
"(0, 24, 0)",27.72739167,85.304875,59,349.3408942279874,1327.1297873328201,6962.9261295549195
