date,data_count,morning_rush,free,evening_rush
2020-02-23,43296,5602,35808,1886
2019-08-22,26001,0,26001,0
2020-02-24,113622,20278,88700,4644
2020-02-25,115472,22974,91094,1404
2020-02-26,109720,22936,80082,6702
2020-02-27,39112,2160,36932,20
2020-02-28,42514,9410,31747,1357
2020-02-06,8268,4189,4079,0
2020-01-27,393,0,393,0
2020-02-07,30117,1243,27466,1408
2020-02-08,55648,9844,44650,1154
2020-02-09,58449,11983,45025,1441
2020-02-10,55268,8733,43915,2620
2020-02-11,39337,9488,29591,258
2020-02-14,16304,403,14406,1495
2020-02-15,56874,10984,44371,1519
2020-02-16,55517,11931,42410,1176
2020-02-17,56532,11014,43695,1823
2020-02-18,57147,10127,46080,940
2020-02-19,56457,11655,44094,708
2020-02-20,29969,9248,20721,0
