time,lat,lon,time_taken,distance,total_distance,from_koteshwor
"(13, 31, 54)",27.74205833,85.33185833,60,156.7134185924681,143848.43716591859,7245.870455454469
"(13, 32, 53)",27.73949667,85.32750667,59,514.3422016549531,144362.77936757353,7088.340902766395
"(13, 33, 53)",27.73796333,85.325065,60,294.64265640548916,144657.42202397902,7004.91488451361
"(13, 34, 52)",27.73610667,85.322,59,365.53417718348624,145022.9562011625,6923.53566322598
"(13, 35, 52)",27.73516833,85.31896167,60,316.7101777202353,145339.66637888274,6951.497578358526
"(13, 36, 52)",27.73502,85.31652167,60,240.7095652929558,145580.3759441757,7043.950577813982
"(13, 37, 51)",27.73482833,85.31266,59,380.6617187813178,145961.037662957,7208.4469458662315
"(13, 38, 51)",27.73480667,85.31004333,60,257.5435342482453,146218.58119720526,7339.269625996537
"(13, 39, 50)",27.73524333,85.307455,59,259.3285632964642,146477.90976050173,7517.637738118187
"(13, 40, 50)",27.734125,85.30547833,60,230.89146134016158,146708.8012218419,7524.410361803166
"(13, 41, 49)",27.73005833,85.30538667,59,452.2830531132873,147161.08427495518,7164.858279358442
"(13, 42, 49)",27.72954333,85.30546167,60,57.739206503771946,147218.82348145897,7114.884329055095
"(13, 43, 49)",27.72954833,85.30547,60,0.9906089635702741,147219.81409042253,7114.826022279159
"(13, 44, 48)",27.72955167,85.305455,59,1.522365629416807,147221.33645605194,7116.019689399467
"(13, 45, 48)",27.72957,85.30542833,60,3.323373694743361,147224.65982974667,7119.235036182903
"(13, 46, 47)",27.729565,85.305435,59,0.8602845932253158,147225.5201143399,7118.394222178092
"(13, 48, 17)",27.729505,85.30553,90,11.486529633514264,147237.0066439734,7107.408397424657
"(13, 49, 16)",27.72949333,85.30554,59,1.6286875896791368,147238.6353315631,7105.779734981211
"(13, 50, 16)",27.729465,85.30560333,60,6.984029754904808,147245.619361318,7099.486736666152
"(13, 51, 15)",27.72945833,85.30559667,59,0.9898312579712999,147246.60919257597,7099.297000610156
"(13, 52, 15)",27.72943833,85.30560667,60,2.4319676898247398,147249.0411602658,7096.93333123885
"(13, 53, 14)",27.72947167,85.30562667,59,4.197450188179506,147253.238610454,7098.678081498076
"(13, 54, 14)",27.72948833,85.305665,60,4.202907085466759,147257.44151753947,7097.85555339336
"(13, 55, 14)",27.729545,85.30570833,60,7.608932482786147,147265.05045002225,7100.272070746517
"(13, 56, 13)",27.729465,85.305635,59,11.455287225068426,147276.50573724732,7097.590723053573
"(13, 57, 13)",27.729425,85.30558667,60,6.512347652973321,147283.0180849003,7096.95558068299
"(13, 58, 12)",27.72937833,85.30566667,59,9.430276845725922,147292.44836174604,7088.045465906788
"(13, 59, 12)",27.729365,85.30569667,60,3.3038905328042505,147295.75225227885,7085.072639252051
"(14, 0, 12)",27.72938333,85.30566,60,4.144979795751882,147299.8972320746,7088.886140323791
"(14, 1, 11)",27.72935667,85.30568,59,3.55850783241096,147303.45573990702,7085.335865281403
"(14, 2, 11)",27.729465,85.30566833,60,12.10038539102469,147315.55612529806,7095.596261293295
"(14, 3, 10)",27.72936333,85.30562333,59,12.141841750003074,147327.69796704807,7089.318944690624
"(14, 4, 10)",27.72746333,85.30510167,60,217.41997424826928,147545.11794129634,6955.076443742963
"(14, 5, 9)",27.726335,85.303525,59,199.56034930399176,147744.67829060034,6957.793547506711
"(14, 6, 9)",27.72518833,85.29926667,60,438.10360250642435,148182.78189310676,7144.734433613809
"(14, 7, 8)",27.72346,85.29688333,59,303.2597345703807,148486.04162767713,7174.6612149985485
"(14, 8, 38)",27.72063,85.29488833,90,370.9258057984975,148856.96743347563,7107.839378326161
"(14, 9, 37)",27.72057333,85.294975,59,10.60606234013249,148867.57349581577,7097.264980969177
"(14, 10, 37)",27.72093333,85.29516667,60,44.253385720068785,148911.82688153585,7109.328907020112
"(14, 11, 37)",27.72094,85.29507,60,9.54431916921908,148921.37120070506,7116.976689446266
"(14, 12, 36)",27.72096,85.29508167,59,2.503048079717344,148923.8742487848,7117.576820078886
"(14, 13, 36)",27.72104167,85.29487667,60,22.127964498269144,148946.00221328306,7138.744222064945
"(14, 14, 35)",27.72109,85.29479167,59,9.943983486494263,148955.94619676957,7148.580795914507
"(14, 15, 35)",27.72116667,85.29477333,60,8.714350933270667,148964.66054770284,7155.550707965767
"(14, 16, 34)",27.721095,85.29469333,59,11.203541668078651,148975.8640893709,7156.239370158423
