from,koteshwor,airport,gausala,chabhil,gangabu,samakhushi,balaju,banasthali,swoyambhu,satdobato,gwarko,balkumari
koteshwor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
airport,160.35999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gausala,122.16333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chabhil,116.04583333333333,0.0,3.4833333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gangabu,81.46041666666667,91.78333333333335,101.16333333333333,109.89666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
samakhushi,80.14814814814815,81.29166666666667,85.2625,90.475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
balaju,70.93125,70.33333333333333,74.1388888888889,77.77777777777779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
banasthali,63.0060606060606,66.03,73.8888888888889,82.33055555555556,122.11666666666666,114.5111111111111,90.6,0.0,0.0,0.0,0.0,0.0
swoyambhu,52.57727272727273,62.25333333333333,70.24444444444445,78.68611111111112,121.11666666666666,112.85000000000001,89.10416666666667,0.0,0.0,0.0,0.0,0.0
satdobato,18.473809523809525,28.610416666666666,36.595,47.068333333333335,77.69166666666666,78.4888888888889,84.91190476190476,91.37916666666666,92.69583333333334,0.0,0.0,0.0
gwarko,13.206666666666667,23.95625,31.731666666666666,43.10757575757576,75.7,75.71666666666667,81.125,86.29166666666667,87.60833333333333,0.0,0.0,0.0
balkumari,8.966666666666667,19.547916666666666,27.21,38.72575757575758,71.725,71.03333333333333,76.53125,81.07916666666667,82.39583333333334,0.0,0.0,0.0
