from,koteshwor,airport,gausala,chabhil,gangabu,samakhushi,balaju,banasthali,swoyambhu,satdobato,gwarko,balkumari
koteshwor,0.0,87.275,91.25,86.775,74.45,160.25,159.25833333333333,211.3,210.3,178.53333333333333,173.56666666666666,1.3277777777777777
airport,0.0,0.0,20.84166666666667,17.866666666666667,47.65,66.39583333333334,76.575,71.65555555555555,70.32777777777778,27.808333333333334,22.84166666666667,15.641666666666667
gausala,0.0,0.0,0.0,0.0,26.808333333333334,59.82083333333333,70.0,70.33333333333333,69.00555555555555,35.5,30.53333333333333,23.34166666666667
chabhil,0.0,0.0,0.0,0.0,29.78333333333333,65.27916666666667,75.45833333333333,76.61666666666667,75.28888888888889,43.44166666666666,38.475,31.775
gangabu,0.0,0.0,0.0,0.0,0.0,181.46666666666667,146.275,181.13888888888889,180.13888888888889,214.11666666666667,209.65,189.275
samakhushi,0.0,0.0,0.0,0.0,0.0,0.0,44.68333333333333,43.7,42.7,0.0,0.0,0.0
balaju,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
banasthali,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
swoyambhu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.86666666666666,80.41666666666667,0.0
satdobato,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.933333333333334
gwarko,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.933333333333334
balkumari,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
