from,koteshwor,airport,gausala,chabhil,gangabu,samakhushi,balaju,banasthali,swoyambhu,satdobato,gwarko,balkumari
koteshwor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
airport,119.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gausala,102.76666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chabhil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gangabu,110.4625,92.20833333333333,101.77083333333333,151.41666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
samakhushi,82.41666666666667,95.31666666666666,107.73333333333333,128.08333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
balaju,72.48333333333333,85.38333333333334,97.8,118.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
banasthali,59.25,73.975,80.925,103.60000000000001,134.55,132.30833333333334,133.55,0.0,0.0,0.0,0.0,0.0
swoyambhu,57.65416666666667,72.725,80.27222222222223,101.80833333333334,133.55,129.95000000000002,136.0,144.9,0.0,0.0,0.0,0.0
satdobato,19.021428571428572,32.1375,40.879999999999995,61.47222222222222,95.81666666666666,87.56333333333333,97.15,101.3611111111111,98.03333333333333,0.0,0.0,0.0
gwarko,12.627777777777778,24.695833333333333,33.276666666666664,54.94333333333333,88.86666666666666,80.09166666666667,91.70416666666667,93.98333333333333,91.09166666666667,0.0,0.0,0.0
balkumari,9.647222222222222,21.46666666666667,30.09666666666667,51.763333333333335,85.9,77.1125,88.725,91.0,88.10833333333333,0.0,0.0,0.0
